dataset,index,n-train-samples,n-test-samples,n-trees,train-acc,test-acc,prune-train-acc,prune-test-acc,prune-train-fidelity,prune-test-fidelity,random-prune-train-acc,random-prune-test-acc,random-prune-train-fidelity,random-prune-test-fidelity,greedy-prune-train-acc,greedy-prune-test-acc,greedy-prune-train-fidelity,greedy-prune-test-fidelity,time
FICO,1,9413,1046,40,0.7898650802082227,0.6864244741873805,0.7898650802082227,0.6864244741873805,1.0,0.994263862332696,0.788972697333475,0.6860420650095602,0.788972697333475,0.9782026768642448,0.7888027196430468,0.6931166347992351,0.9855518963136088,0.9760994263862333,1001.0985627174377
FICO,2,9413,1046,34,0.7916710931690215,0.6644359464627151,0.7916710931690215,0.6663479923518164,1.0,0.9923518164435946,0.7906299798151493,0.665774378585086,0.7906299798151493,0.9776290630975144,0.7903962604908106,0.6692160611854685,0.9840645915223627,0.9780114722753346,1005.7268073558807
FICO,3,9413,1046,34,0.7898650802082227,0.6883365200764818,0.7898650802082227,0.6902485659655831,1.0,0.994263862332696,0.7887389780091364,0.68565965583174,0.7887389780091364,0.9831739961759082,0.7884840114734941,0.6959847036328872,0.9875703813874429,0.982791586998088,1011.4244976043701
FICO,4,9413,1046,30,0.7894401359821523,0.6969407265774379,0.7894401359821523,0.6978967495219885,1.0,0.997131931166348,0.787782853500478,0.6950286806883366,0.787782853500478,0.9831739961759082,0.7878465951343886,0.6998087954110899,0.9807712737703177,0.9799235181644359,994.9536769390106
FICO,5,9413,1046,34,0.78646552639966,0.7217973231357553,0.78646552639966,0.722753346080306,1.0,0.9913957934990439,0.7855094018910018,0.7172084130019121,0.7855094018910018,0.9785850860420651,0.7854031658344842,0.7217973231357553,0.9815149261659407,0.97131931166348,999.4036266803741
Breast-Cancer-Wisconsin,1,614,69,3,1.0,0.9855072463768116,1.0,0.9420289855072463,1.0,0.9565217391304348,0.9918566775244301,0.9652173913043478,0.9918566775244301,0.9739130434782609,0.99185667752443,0.9420289855072463,0.99185667752443,0.9565217391304348,27.53904962539673
Breast-Cancer-Wisconsin,2,614,69,3,1.0,0.9710144927536232,1.0,0.8985507246376812,1.0,0.927536231884058,0.9908794788273616,0.9246376811594201,0.9908794788273616,0.9536231884057971,0.996742671009772,0.9565217391304348,0.996742671009772,0.9855072463768116,27.0908682346344
Breast-Cancer-Wisconsin,3,614,69,3,1.0,0.9565217391304348,1.0,0.9420289855072463,1.0,0.9855072463768116,0.9915309446254073,0.9594202898550724,0.9915309446254073,0.9855072463768118,0.99185667752443,0.9565217391304348,0.99185667752443,1.0,28.422356128692627
Breast-Cancer-Wisconsin,4,615,68,3,1.0,0.9852941176470589,1.0,0.9411764705882353,1.0,0.9558823529411765,0.9882926829268293,0.9764705882352942,0.9882926829268293,0.9852941176470589,0.9853658536585366,0.9705882352941176,0.9853658536585366,0.9558823529411765,28.472280740737915
Breast-Cancer-Wisconsin,5,615,68,3,1.0,0.9852941176470589,1.0,0.9705882352941176,1.0,0.9852941176470589,0.9941463414634146,0.9588235294117649,0.9941463414634146,0.9617647058823531,0.9951219512195122,0.9558823529411765,0.9951219512195122,0.9705882352941176,27.11746597290039
Seeds,1,189,21,3,1.0,0.9523809523809523,1.0,0.8571428571428571,1.0,0.9047619047619048,0.984126984126984,0.9238095238095237,0.984126984126984,0.9142857142857143,0.9788359788359788,0.8571428571428571,0.9788359788359788,0.9047619047619048,10.969184875488281
Seeds,2,189,21,3,1.0,0.9047619047619048,1.0,0.9047619047619048,1.0,1.0,0.9756613756613757,0.8857142857142858,0.9756613756613757,0.9428571428571427,0.9735449735449735,0.8571428571428571,0.9735449735449735,0.9523809523809523,10.811330556869507
Seeds,3,189,21,2,1.0,0.9047619047619048,1.0,0.8571428571428571,1.0,0.9523809523809523,0.9301587301587301,0.838095238095238,0.9301587301587301,0.9333333333333332,0.9259259259259259,0.8095238095238095,0.9259259259259259,0.9047619047619048,10.911441326141357
Seeds,4,189,21,3,1.0,0.9523809523809523,1.0,0.8571428571428571,1.0,0.9047619047619048,0.9767195767195765,0.9142857142857144,0.9767195767195765,0.9619047619047618,0.9629629629629629,0.8571428571428571,0.9629629629629629,0.9047619047619048,10.85752558708191
Seeds,5,189,21,3,1.0,0.9523809523809523,1.0,0.8571428571428571,1.0,0.9047619047619048,0.9830687830687831,0.8666666666666666,0.9830687830687831,0.9142857142857143,0.9788359788359788,0.8095238095238095,0.9788359788359788,0.8571428571428571,10.976414442062378
